rating_id,dog_id,rater_dog_id,rating_date,overall_paw_rating,tail_wags,treat_goals,rating_status
1,15,50,2025-06-24,4,Sniff-worthy,Work on high-fives,Pending
2,90,100,2022-01-21,1,Sniff-worthy,Improve leash manners,Pending
3,4,52,2024-01-08,1,Wag-tastic,Nail the roll-over,Pending
4,99,70,2021-11-02,1,Needs more tail wags,Work on high-fives,In Review
5,23,62,2024-05-03,3,Could use more zoomies,More sit-stay drills,In Review
6,2,71,2024-08-08,2,Could use more zoomies,Work on high-fives,Completed
7,77,55,2025-11-09,3,Sniff-worthy,Improve leash manners,Pending
8,69,67,2024-05-07,5,Could use more zoomies,Nail the roll-over,Completed
9,35,10,2025-12-21,5,Could use more zoomies,Nail the roll-over,Pending
10,46,29,2023-04-08,4,Wag-tastic,Work on high-fives,Pending
11,95,19,2025-06-12,3,Needs more tail wags,Improve leash manners,Pending
12,27,83,2022-12-31,5,Wag-tastic,Nail the roll-over,Pending
13,50,52,2024-06-20,4,Sniff-worthy,Nail the roll-over,Completed
14,26,66,2024-02-28,4,Could use more zoomies,Nail the roll-over,In Review
15,41,41,2020-09-13,3,Needs more tail wags,Improve leash manners,Completed
16,24,19,2020-04-19,2,Needs more tail wags,Stop stealing socks,Pending
17,23,10,2024-03-26,1,Wag-tastic,More sit-stay drills,Completed
18,64,19,2022-02-04,1,Tailspin performance,More sit-stay drills,Pending
19,85,20,2021-01-03,1,Tailspin performance,Stop stealing socks,Completed
20,20,5,2021-09-16,5,Sniff-worthy,Nail the roll-over,In Review
21,79,50,2024-05-20,1,Tailspin performance,Work on high-fives,Pending
22,76,83,2023-12-26,5,Wag-tastic,More sit-stay drills,Completed
23,65,73,2021-01-30,5,Sniff-worthy,More sit-stay drills,Completed
24,53,15,2022-07-15,3,Could use more zoomies,Stop stealing socks,Pending
25,76,86,2025-08-29,5,Tailspin performance,Nail the roll-over,Completed
26,81,9,2020-12-22,1,Needs more tail wags,Nail the roll-over,Completed
27,30,68,2024-12-24,5,Could use more zoomies,Work on high-fives,Completed
28,1,35,2025-12-26,2,Tailspin performance,Nail the roll-over,In Review
29,7,73,2025-08-13,1,Wag-tastic,More sit-stay drills,Completed
30,56,39,2025-08-31,1,Needs more tail wags,Nail the roll-over,Completed
31,78,46,2024-08-14,1,Could use more zoomies,More sit-stay drills,In Review
32,5,86,2024-09-23,3,Could use more zoomies,Improve leash manners,Completed
33,83,94,2020-07-08,1,Wag-tastic,Stop stealing socks,Completed
34,83,62,2025-09-10,5,Could use more zoomies,Work on high-fives,In Review
35,83,52,2022-10-26,4,Tailspin performance,Improve leash manners,In Review
36,18,76,2020-05-05,2,Tailspin performance,Improve leash manners,In Review
37,65,41,2022-05-22,5,Could use more zoomies,Stop stealing socks,Pending
38,11,96,2021-03-02,5,Needs more tail wags,More sit-stay drills,In Review
39,54,86,2025-07-10,5,Sniff-worthy,Stop stealing socks,Pending
40,40,80,2024-12-31,2,Sniff-worthy,Improve leash manners,Completed
41,43,60,2020-07-28,3,Sniff-worthy,More sit-stay drills,Pending
42,82,66,2024-05-04,3,Wag-tastic,Work on high-fives,Pending
43,81,45,2022-08-29,2,Tailspin performance,More sit-stay drills,Pending
44,80,30,2023-03-24,2,Sniff-worthy,More sit-stay drills,Pending
45,25,100,2024-06-16,5,Wag-tastic,Improve leash manners,In Review
46,92,65,2023-12-17,2,Could use more zoomies,Improve leash manners,Completed
47,8,5,2024-11-18,2,Tailspin performance,Nail the roll-over,Completed
48,44,93,2025-03-19,2,Needs more tail wags,Work on high-fives,Pending
49,18,50,2024-12-03,2,Tailspin performance,Work on high-fives,Completed
50,41,47,2022-06-14,3,Needs more tail wags,Improve leash manners,Completed
51,85,44,2020-08-14,4,Sniff-worthy,Stop stealing socks,In Review
52,96,66,2020-11-12,3,Could use more zoomies,Nail the roll-over,Completed
53,36,1,2024-01-08,2,Tailspin performance,Improve leash manners,Pending
54,63,32,2023-01-17,5,Needs more tail wags,Stop stealing socks,In Review
55,62,74,2021-10-24,3,Tailspin performance,Work on high-fives,Pending
56,78,10,2020-03-02,2,Needs more tail wags,Nail the roll-over,In Review
57,43,61,2020-10-30,1,Sniff-worthy,Nail the roll-over,Pending
58,35,15,2024-05-10,2,Could use more zoomies,More sit-stay drills,Pending
59,83,48,2023-03-21,4,Tailspin performance,More sit-stay drills,Pending
60,10,56,2024-05-22,2,Wag-tastic,More sit-stay drills,Completed
61,59,99,2024-12-20,2,Tailspin performance,More sit-stay drills,In Review
62,97,80,2021-08-13,5,Tailspin performance,Improve leash manners,Pending
63,21,32,2024-11-12,1,Sniff-worthy,Work on high-fives,Pending
64,14,70,2022-10-30,3,Needs more tail wags,Improve leash manners,Pending
65,66,4,2023-08-22,5,Sniff-worthy,Stop stealing socks,Completed
66,34,67,2023-11-18,4,Tailspin performance,More sit-stay drills,Completed
67,72,65,2022-11-27,2,Wag-tastic,Stop stealing socks,In Review
68,92,15,2022-04-08,3,Could use more zoomies,Improve leash manners,In Review
69,52,6,2023-05-20,1,Sniff-worthy,More sit-stay drills,Pending
70,78,73,2024-02-12,5,Needs more tail wags,More sit-stay drills,Completed
71,58,46,2020-09-03,3,Wag-tastic,Stop stealing socks,Pending
72,54,6,2023-09-07,5,Could use more zoomies,Stop stealing socks,In Review
73,86,47,2024-09-18,2,Wag-tastic,Improve leash manners,Pending
74,21,24,2022-03-04,1,Wag-tastic,More sit-stay drills,In Review
75,78,44,2021-08-19,2,Sniff-worthy,Work on high-fives,Completed
76,54,35,2021-08-15,2,Tailspin performance,More sit-stay drills,Pending
77,99,63,2021-02-01,5,Needs more tail wags,Work on high-fives,Completed
78,17,62,2021-04-21,1,Wag-tastic,Nail the roll-over,Pending
79,88,97,2025-07-10,4,Wag-tastic,Work on high-fives,Completed
80,85,54,2023-02-09,2,Needs more tail wags,Work on high-fives,Completed
81,100,1,2025-05-23,2,Wag-tastic,Nail the roll-over,Completed
82,15,83,2024-02-20,4,Sniff-worthy,Improve leash manners,Pending
83,75,99,2025-11-02,5,Could use more zoomies,Work on high-fives,Completed
84,99,31,2023-01-18,1,Needs more tail wags,Nail the roll-over,Pending
85,15,84,2023-11-13,5,Could use more zoomies,Stop stealing socks,Pending
86,24,84,2022-02-24,3,Needs more tail wags,More sit-stay drills,Completed
87,96,62,2022-07-19,2,Sniff-worthy,Stop stealing socks,Completed
88,62,96,2020-05-29,2,Tailspin performance,Nail the roll-over,Completed
89,38,93,2023-10-08,4,Tailspin performance,More sit-stay drills,In Review
90,88,45,2022-10-15,3,Wag-tastic,More sit-stay drills,Completed
91,94,88,2022-12-28,4,Needs more tail wags,More sit-stay drills,Completed
92,13,93,2025-01-30,2,Needs more tail wags,Improve leash manners,In Review
93,88,21,2022-01-28,3,Tailspin performance,More sit-stay drills,Completed
94,98,6,2023-01-18,2,Sniff-worthy,Nail the roll-over,Pending
95,55,98,2020-02-23,1,Tailspin performance,Work on high-fives,In Review
96,34,95,2025-05-28,3,Wag-tastic,Improve leash manners,Completed
97,36,62,2021-02-17,4,Tailspin performance,Nail the roll-over,In Review
98,15,68,2021-11-07,3,Tailspin performance,Work on high-fives,Completed
99,82,85,2020-08-10,3,Needs more tail wags,Nail the roll-over,Completed
100,46,22,2022-12-26,5,Tailspin performance,Stop stealing socks,In Review
101,66,50,2023-08-18,5,Tailspin performance,Stop stealing socks,In Review
102,69,90,2021-06-17,3,Needs more tail wags,Stop stealing socks,Completed
103,10,37,2021-08-20,2,Needs more tail wags,Improve leash manners,Completed
104,2,88,2020-09-05,3,Tailspin performance,Work on high-fives,Completed
105,6,75,2023-04-24,5,Wag-tastic,Nail the roll-over,In Review
106,78,62,2024-11-23,4,Wag-tastic,More sit-stay drills,Completed
107,2,28,2022-10-07,1,Could use more zoomies,Stop stealing socks,In Review
108,100,4,2022-03-17,2,Wag-tastic,Nail the roll-over,In Review
109,18,91,2024-11-22,4,Could use more zoomies,Stop stealing socks,Completed
110,16,59,2022-12-12,1,Needs more tail wags,Work on high-fives,Completed
111,53,80,2021-07-20,5,Sniff-worthy,Improve leash manners,Completed
112,50,77,2023-04-11,1,Needs more tail wags,Improve leash manners,Pending
113,62,86,2025-09-25,5,Could use more zoomies,Stop stealing socks,Pending
114,4,23,2020-01-06,2,Needs more tail wags,Improve leash manners,Completed
115,41,79,2024-10-29,4,Sniff-worthy,Nail the roll-over,Completed
116,81,57,2025-12-30,2,Wag-tastic,Nail the roll-over,Pending
117,18,41,2021-04-10,4,Wag-tastic,Improve leash manners,In Review
118,11,75,2020-10-20,3,Tailspin performance,Improve leash manners,Pending
119,90,42,2020-05-18,5,Sniff-worthy,Improve leash manners,In Review
120,51,56,2023-12-29,2,Wag-tastic,Work on high-fives,In Review
121,83,73,2020-03-07,2,Could use more zoomies,Work on high-fives,Completed
122,75,99,2021-12-06,1,Could use more zoomies,Work on high-fives,In Review
123,96,81,2024-04-02,3,Could use more zoomies,Nail the roll-over,Completed
124,29,19,2021-11-30,4,Sniff-worthy,Improve leash manners,Completed
125,7,66,2023-12-06,3,Sniff-worthy,More sit-stay drills,Pending
126,27,55,2022-11-30,4,Wag-tastic,Improve leash manners,In Review
127,53,51,2023-01-05,5,Could use more zoomies,Nail the roll-over,Pending
128,4,31,2023-09-12,1,Tailspin performance,Stop stealing socks,In Review
129,7,48,2024-09-12,3,Tailspin performance,Improve leash manners,Completed
130,77,49,2022-12-07,4,Wag-tastic,Work on high-fives,Completed
131,52,38,2022-10-11,4,Needs more tail wags,More sit-stay drills,In Review
132,17,31,2025-01-18,5,Tailspin performance,More sit-stay drills,In Review
133,72,28,2021-12-15,2,Tailspin performance,Nail the roll-over,Completed
134,94,33,2020-07-29,5,Needs more tail wags,Stop stealing socks,In Review
135,91,31,2022-05-22,5,Tailspin performance,Work on high-fives,In Review
136,39,69,2022-08-19,2,Sniff-worthy,Work on high-fives,Completed
137,53,76,2025-08-06,1,Could use more zoomies,Nail the roll-over,Completed
138,52,48,2021-02-14,3,Wag-tastic,Stop stealing socks,In Review
139,70,59,2020-01-12,5,Could use more zoomies,Improve leash manners,Pending
140,8,31,2021-09-24,4,Sniff-worthy,Stop stealing socks,Pending
141,96,77,2022-11-22,5,Needs more tail wags,Work on high-fives,In Review
142,58,44,2022-06-03,5,Needs more tail wags,More sit-stay drills,Pending
143,70,80,2025-09-24,4,Needs more tail wags,Nail the roll-over,In Review
144,19,82,2023-11-28,2,Tailspin performance,Nail the roll-over,In Review
145,72,19,2021-03-03,4,Could use more zoomies,Nail the roll-over,In Review
146,17,42,2021-05-14,2,Needs more tail wags,Nail the roll-over,In Review
147,83,32,2021-01-17,4,Needs more tail wags,Improve leash manners,Pending
148,27,19,2024-04-29,1,Sniff-worthy,More sit-stay drills,Pending
149,76,98,2025-10-03,1,Tailspin performance,Work on high-fives,Completed
150,22,33,2024-11-20,5,Could use more zoomies,Stop stealing socks,In Review
151,12,71,2024-04-18,4,Wag-tastic,Work on high-fives,In Review
152,74,23,2020-09-27,1,Sniff-worthy,More sit-stay drills,Completed
153,61,69,2021-04-24,5,Could use more zoomies,Nail the roll-over,Completed
154,37,91,2023-04-12,4,Tailspin performance,Work on high-fives,In Review
155,35,91,2023-06-16,2,Could use more zoomies,More sit-stay drills,Pending
156,33,77,2023-05-04,1,Could use more zoomies,Stop stealing socks,Pending
157,28,15,2020-05-08,2,Wag-tastic,Stop stealing socks,In Review
158,52,58,2023-11-23,2,Could use more zoomies,Nail the roll-over,Pending
159,88,62,2025-08-19,2,Tailspin performance,Stop stealing socks,Pending
160,2,27,2024-12-15,1,Sniff-worthy,Improve leash manners,In Review
161,82,89,2022-07-18,5,Wag-tastic,Work on high-fives,Pending
162,7,24,2023-03-27,4,Sniff-worthy,More sit-stay drills,Completed
163,68,77,2020-12-02,4,Sniff-worthy,Nail the roll-over,Completed
164,100,46,2021-07-06,1,Wag-tastic,More sit-stay drills,Completed
165,100,78,2021-09-25,5,Could use more zoomies,Stop stealing socks,Completed
166,9,32,2024-09-27,2,Needs more tail wags,Nail the roll-over,Pending
167,2,91,2023-01-05,5,Needs more tail wags,Improve leash manners,In Review
168,82,12,2023-06-04,2,Sniff-worthy,More sit-stay drills,In Review
169,37,70,2025-03-28,2,Sniff-worthy,Work on high-fives,In Review
170,20,64,2025-06-18,4,Needs more tail wags,Stop stealing socks,Completed
171,99,27,2021-02-01,1,Needs more tail wags,Improve leash manners,In Review
172,19,38,2024-05-22,2,Needs more tail wags,Nail the roll-over,Completed
173,98,50,2022-06-09,1,Tailspin performance,Nail the roll-over,Completed
174,65,35,2023-03-08,5,Tailspin performance,Stop stealing socks,Completed
175,18,66,2025-03-21,2,Wag-tastic,Improve leash manners,Pending
176,15,26,2023-07-28,5,Could use more zoomies,More sit-stay drills,In Review
177,43,46,2024-06-14,2,Wag-tastic,More sit-stay drills,Pending
178,1,53,2023-08-23,5,Sniff-worthy,More sit-stay drills,In Review
179,95,41,2022-03-20,5,Could use more zoomies,Improve leash manners,Completed
180,42,94,2022-11-16,5,Tailspin performance,Nail the roll-over,Pending
181,19,3,2025-07-31,5,Sniff-worthy,Nail the roll-over,Pending
182,43,6,2024-10-21,4,Sniff-worthy,Nail the roll-over,Completed
183,75,25,2020-02-22,5,Could use more zoomies,Work on high-fives,Completed
184,97,26,2023-06-22,4,Needs more tail wags,Improve leash manners,Completed
185,9,78,2020-04-17,3,Sniff-worthy,Nail the roll-over,In Review
186,12,21,2022-06-11,4,Tailspin performance,Nail the roll-over,Pending
187,48,72,2025-01-11,5,Needs more tail wags,Stop stealing socks,In Review
188,27,59,2023-11-12,1,Sniff-worthy,More sit-stay drills,Pending
189,33,11,2025-11-11,3,Could use more zoomies,Nail the roll-over,Completed
190,58,33,2023-07-15,3,Tailspin performance,Improve leash manners,In Review
191,43,65,2021-12-30,2,Wag-tastic,Nail the roll-over,Completed
192,88,37,2021-02-14,1,Tailspin performance,Work on high-fives,In Review
193,63,89,2020-12-24,2,Could use more zoomies,Nail the roll-over,Pending
194,61,63,2022-02-02,4,Could use more zoomies,Nail the roll-over,Completed
195,69,54,2023-05-22,2,Wag-tastic,Nail the roll-over,In Review
196,68,41,2021-02-04,5,Wag-tastic,Stop stealing socks,Pending
197,11,87,2022-03-13,2,Sniff-worthy,Stop stealing socks,Pending
198,11,96,2024-10-22,1,Could use more zoomies,Improve leash manners,Completed
199,41,90,2024-07-02,2,Could use more zoomies,Nail the roll-over,In Review
200,57,90,2025-12-23,2,Needs more tail wags,Stop stealing socks,Completed
