dog_id,class_id,completion_date,enrollment_status,notes_from_trainer
76,19,2021-10-05,Dropped,Discovered hidden talent: interpretive howling.
45,2,2022-04-05,Expelled for zoomie chaos,Faked injury to skip sit drills. Oscar-worthy.
56,3,2021-10-10,Enrolled,Struggles with stay—too many tail distractions.
13,17,2021-01-29,Enrolled,Has potential to be next Pupfluencer.
96,17,2024-08-23,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
16,9,2020-01-07,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
88,26,2022-03-19,Dropped,Takes zoomies very seriously. A+ for effort.
3,5,2020-10-20,Dropped,Excels at napping mid-class.
20,9,2024-01-31,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
69,11,2023-09-03,Dropped,Attempted to bribe trainer with kibble.
73,14,2025-01-22,Expelled for zoomie chaos,Attempted to bribe trainer with kibble.
47,4,2024-12-25,Completed,Still thinks ‘roll over’ means protest nap.
31,24,2022-10-15,Completed,Struggles with stay—too many tail distractions.
4,28,2024-05-17,Enrolled,Obsessed with mirror training. Can’t stop posing.
11,13,2025-03-22,Enrolled,Turns every command into a dance routine.
72,23,2025-10-29,Completed,Will only heel to jazz music.
14,1,2021-09-04,Enrolled,"Graduated, but only under protest (and treats)."
85,24,2020-03-06,Dropped,Accidentally led the class into a squirrel chase.
40,10,2024-04-23,Dropped,Refuses to sit unless dramatic music plays.
55,18,2025-12-29,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
50,30,2022-03-23,Expelled for zoomie chaos,Will only heel to jazz music.
38,23,2022-05-05,Completed,Obsessed with mirror training. Can’t stop posing.
42,10,2020-11-30,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
62,14,2022-07-22,Enrolled,Attempted to bribe trainer with kibble.
8,20,2023-05-21,Dropped,Faked injury to skip sit drills. Oscar-worthy.
98,11,2020-01-24,Expelled for zoomie chaos,Accidentally led the class into a squirrel chase.
31,16,2024-06-07,Expelled for zoomie chaos,Accidentally led the class into a squirrel chase.
35,23,2023-04-29,Expelled for zoomie chaos,Will only heel to jazz music.
90,10,2020-09-06,Dropped,Attempted to bribe trainer with kibble.
43,2,2021-06-11,Enrolled,Attempted to bribe trainer with kibble.
53,28,2022-02-06,Completed,Tried to lead the class in a mutiny. Literally.
42,1,2021-12-16,Dropped,Has potential to be next Pupfluencer.
8,16,2021-04-26,Completed,Barked motivationally at peers. True leader.
11,24,2022-09-09,Expelled for zoomie chaos,Attempted to bribe trainer with kibble.
10,5,2024-06-02,Dropped,"Graduated, but only under protest (and treats)."
6,4,2023-03-30,Completed,Refuses to sit unless dramatic music plays.
41,22,2021-12-21,Enrolled,Barked motivationally at peers. True leader.
73,2,2023-06-04,Dropped,Refuses to sit unless dramatic music plays.
18,7,2023-08-26,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
96,9,2022-09-19,Dropped,Refuses to sit unless dramatic music plays.
7,8,2022-12-28,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
39,4,2022-02-05,Enrolled,Believes 'fetch' is beneath them. Diva energy.
76,21,2025-07-28,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
100,17,2022-06-02,Completed,Attempted to bribe trainer with kibble.
34,8,2022-06-28,Dropped,Excels at napping mid-class.
77,30,2023-02-28,Completed,Discovered hidden talent: interpretive howling.
94,23,2021-05-23,Enrolled,Discovered hidden talent: interpretive howling.
29,7,2020-03-28,Dropped,Attempted to bribe trainer with kibble.
84,17,2020-07-18,Enrolled,Has potential to be next Pupfluencer.
67,10,2023-05-04,Expelled for zoomie chaos,Attempted to bribe trainer with kibble.
42,14,2023-11-05,Dropped,Graduated summa bark laude from Treatology 101.
71,10,2021-11-19,Expelled for zoomie chaos,Believes 'fetch' is beneath them. Diva energy.
28,26,2021-12-29,Dropped,Still thinks ‘roll over’ means protest nap.
27,27,2022-11-19,Expelled for zoomie chaos,Faked injury to skip sit drills. Oscar-worthy.
18,15,2024-10-29,Completed,Still thinks ‘roll over’ means protest nap.
79,29,2021-01-10,Dropped,Believes 'fetch' is beneath them. Diva energy.
58,24,2021-04-07,Enrolled,Believes 'fetch' is beneath them. Diva energy.
49,16,2023-02-10,Enrolled,Obsessed with mirror training. Can’t stop posing.
91,20,2021-06-24,Enrolled,Frequently hosts secret meetings under the slide.
20,24,2023-01-29,Expelled for zoomie chaos,Attempted to bribe trainer with kibble.
11,19,2025-06-23,Enrolled,Obsessed with mirror training. Can’t stop posing.
34,29,2024-12-25,Expelled for zoomie chaos,"Graduated, but only under protest (and treats)."
96,14,2021-12-24,Dropped,Believes 'fetch' is beneath them. Diva energy.
93,7,2023-06-11,Completed,Barked motivationally at peers. True leader.
93,7,2025-08-26,Dropped,Struggles with stay—too many tail distractions.
49,22,2022-01-31,Dropped,Has potential to be next Pupfluencer.
42,27,2022-01-17,Dropped,Attempted to bribe trainer with kibble.
87,1,2024-04-01,Dropped,Graduated summa bark laude from Treatology 101.
43,23,2020-05-12,Completed,Discovered hidden talent: interpretive howling.
38,7,2023-08-23,Dropped,Obsessed with mirror training. Can’t stop posing.
82,12,2025-08-01,Dropped,Struggles with stay—too many tail distractions.
56,24,2020-06-27,Enrolled,Graduated summa bark laude from Treatology 101.
43,6,2022-11-26,Dropped,Still thinks ‘roll over’ means protest nap.
83,10,2025-12-29,Dropped,Attempted to bribe trainer with kibble.
25,26,2024-04-10,Dropped,Still thinks ‘roll over’ means protest nap.
81,7,2020-07-09,Dropped,Discovered hidden talent: interpretive howling.
3,2,2023-03-01,Completed,Takes zoomies very seriously. A+ for effort.
98,18,2025-10-02,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
83,14,2020-11-06,Expelled for zoomie chaos,Refuses to sit unless dramatic music plays.
55,29,2022-04-07,Completed,Turns every command into a dance routine.
19,14,2025-06-01,Enrolled,Tried to lead the class in a mutiny. Literally.
41,18,2020-01-09,Completed,Obsessed with mirror training. Can’t stop posing.
10,11,2025-03-17,Dropped,Takes zoomies very seriously. A+ for effort.
17,7,2020-01-27,Expelled for zoomie chaos,Frequently hosts secret meetings under the slide.
30,5,2022-06-24,Completed,Excels at napping mid-class.
68,10,2023-10-22,Dropped,Still thinks ‘roll over’ means protest nap.
17,3,2023-11-16,Completed,Advanced in barkonomics but behind in leash-onomics.
62,5,2021-10-11,Dropped,"Graduated, but only under protest (and treats)."
40,2,2020-06-20,Enrolled,Believes 'fetch' is beneath them. Diva energy.
75,11,2023-03-09,Enrolled,Discovered hidden talent: interpretive howling.
6,30,2023-05-01,Completed,Struggles with stay—too many tail distractions.
57,2,2024-08-30,Dropped,Still thinks ‘roll over’ means protest nap.
92,5,2023-03-31,Dropped,Turns every command into a dance routine.
57,21,2020-11-05,Enrolled,Barked motivationally at peers. True leader.
70,3,2020-12-24,Expelled for zoomie chaos,Advanced in barkonomics but behind in leash-onomics.
19,17,2023-08-08,Enrolled,Takes zoomies very seriously. A+ for effort.
84,4,2025-08-29,Dropped,Struggles with stay—too many tail distractions.
65,4,2020-10-16,Completed,Excels at napping mid-class.
50,24,2021-12-14,Expelled for zoomie chaos,Excels at napping mid-class.
11,2,2021-03-29,Completed,Refuses to sit unless dramatic music plays.
78,4,2024-10-12,Completed,Turns every command into a dance routine.
78,5,2023-04-02,Dropped,Discovered hidden talent: interpretive howling.
31,13,2025-05-26,Enrolled,Excels at napping mid-class.
59,28,2021-11-05,Enrolled,"Graduated, but only under protest (and treats)."
82,20,2020-02-28,Dropped,Tried to lead the class in a mutiny. Literally.
54,10,2025-04-23,Expelled for zoomie chaos,Attempted to bribe trainer with kibble.
71,1,2022-04-07,Expelled for zoomie chaos,Turns every command into a dance routine.
42,15,2020-08-22,Dropped,Frequently hosts secret meetings under the slide.
72,4,2024-10-25,Expelled for zoomie chaos,Faked injury to skip sit drills. Oscar-worthy.
29,7,2021-03-03,Dropped,Believes 'fetch' is beneath them. Diva energy.
6,20,2022-05-28,Completed,Struggles with stay—too many tail distractions.
3,24,2022-04-16,Enrolled,Barked motivationally at peers. True leader.
36,20,2021-05-19,Enrolled,Frequently hosts secret meetings under the slide.
79,17,2020-04-25,Completed,Accidentally led the class into a squirrel chase.
52,18,2020-08-28,Expelled for zoomie chaos,Obsessed with mirror training. Can’t stop posing.
89,1,2023-03-27,Dropped,Struggles with stay—too many tail distractions.
19,26,2022-01-29,Enrolled,Has potential to be next Pupfluencer.
29,8,2020-08-01,Dropped,Will only heel to jazz music.
30,6,2021-10-13,Completed,Turns every command into a dance routine.
83,1,2023-04-05,Expelled for zoomie chaos,Excels at napping mid-class.
80,19,2023-10-13,Expelled for zoomie chaos,Frequently hosts secret meetings under the slide.
54,15,2020-03-07,Completed,Advanced in barkonomics but behind in leash-onomics.
77,9,2020-04-06,Dropped,Advanced in barkonomics but behind in leash-onomics.
65,28,2023-03-28,Dropped,Believes 'fetch' is beneath them. Diva energy.
98,10,2022-03-29,Dropped,Obsessed with mirror training. Can’t stop posing.
23,29,2021-10-26,Dropped,"Graduated, but only under protest (and treats)."
19,20,2020-07-16,Completed,Graduated summa bark laude from Treatology 101.
86,20,2024-11-11,Dropped,Believes 'fetch' is beneath them. Diva energy.
7,27,2020-11-18,Completed,Advanced in barkonomics but behind in leash-onomics.
95,6,2024-11-11,Enrolled,Frequently hosts secret meetings under the slide.
31,30,2024-07-22,Dropped,Frequently hosts secret meetings under the slide.
13,28,2022-03-05,Expelled for zoomie chaos,Tried to lead the class in a mutiny. Literally.
76,17,2020-11-07,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
1,20,2023-12-03,Dropped,Obsessed with mirror training. Can’t stop posing.
31,13,2023-09-07,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
75,29,2022-10-10,Enrolled,Takes zoomies very seriously. A+ for effort.
15,11,2021-10-08,Enrolled,Advanced in barkonomics but behind in leash-onomics.
9,4,2024-07-26,Completed,Struggles with stay—too many tail distractions.
84,6,2023-04-02,Completed,Advanced in barkonomics but behind in leash-onomics.
6,4,2022-10-20,Expelled for zoomie chaos,Believes 'fetch' is beneath them. Diva energy.
25,18,2020-04-16,Completed,Faked injury to skip sit drills. Oscar-worthy.
32,5,2023-08-28,Dropped,Advanced in barkonomics but behind in leash-onomics.
20,16,2020-01-17,Dropped,Believes 'fetch' is beneath them. Diva energy.
28,5,2023-08-09,Enrolled,Believes 'fetch' is beneath them. Diva energy.
44,1,2024-04-28,Completed,Attempted to bribe trainer with kibble.
53,20,2024-04-15,Enrolled,Turns every command into a dance routine.
68,2,2025-02-25,Dropped,Will only heel to jazz music.
53,10,2025-04-17,Expelled for zoomie chaos,Believes 'fetch' is beneath them. Diva energy.
11,7,2020-01-31,Dropped,Obsessed with mirror training. Can’t stop posing.
48,4,2020-06-15,Dropped,Believes 'fetch' is beneath them. Diva energy.
76,9,2020-01-29,Dropped,Frequently hosts secret meetings under the slide.
12,9,2021-12-16,Completed,Barked motivationally at peers. True leader.
41,15,2022-06-09,Enrolled,Has potential to be next Pupfluencer.
83,16,2025-05-11,Dropped,Tried to lead the class in a mutiny. Literally.
50,29,2021-10-23,Completed,Refuses to sit unless dramatic music plays.
16,26,2020-02-22,Enrolled,Obsessed with mirror training. Can’t stop posing.
66,30,2022-08-16,Expelled for zoomie chaos,"Graduated, but only under protest (and treats)."
42,8,2020-12-11,Expelled for zoomie chaos,Frequently hosts secret meetings under the slide.
7,9,2025-10-26,Enrolled,Excels at napping mid-class.
10,29,2021-11-23,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
7,22,2023-08-15,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
38,20,2025-04-05,Enrolled,Takes zoomies very seriously. A+ for effort.
39,18,2022-02-01,Enrolled,"Graduated, but only under protest (and treats)."
91,14,2022-08-01,Expelled for zoomie chaos,Obsessed with mirror training. Can’t stop posing.
5,29,2024-10-13,Expelled for zoomie chaos,Attempted to bribe trainer with kibble.
22,15,2023-02-15,Completed,Obsessed with mirror training. Can’t stop posing.
14,10,2024-03-20,Dropped,Frequently hosts secret meetings under the slide.
48,15,2023-05-11,Completed,Tried to lead the class in a mutiny. Literally.
46,8,2024-12-05,Expelled for zoomie chaos,Excels at napping mid-class.
37,20,2025-09-17,Expelled for zoomie chaos,Tried to lead the class in a mutiny. Literally.
22,18,2025-06-07,Enrolled,Attempted to bribe trainer with kibble.
59,14,2023-01-21,Dropped,Struggles with stay—too many tail distractions.
85,4,2020-02-07,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
55,14,2020-03-27,Dropped,Barked motivationally at peers. True leader.
97,13,2020-08-08,Expelled for zoomie chaos,Tried to lead the class in a mutiny. Literally.
25,7,2025-02-22,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
84,4,2022-04-14,Expelled for zoomie chaos,Obsessed with mirror training. Can’t stop posing.
95,24,2024-12-08,Dropped,Turns every command into a dance routine.
32,12,2022-05-28,Dropped,Excels at napping mid-class.
12,27,2023-09-11,Enrolled,Attempted to bribe trainer with kibble.
16,21,2024-06-12,Enrolled,Believes 'fetch' is beneath them. Diva energy.
54,21,2025-07-28,Enrolled,Still thinks ‘roll over’ means protest nap.
21,21,2021-05-14,Enrolled,Tried to lead the class in a mutiny. Literally.
64,19,2023-10-15,Completed,Frequently hosts secret meetings under the slide.
76,8,2023-06-28,Expelled for zoomie chaos,Advanced in barkonomics but behind in leash-onomics.
67,29,2023-05-25,Expelled for zoomie chaos,Excels at napping mid-class.
59,22,2022-07-22,Enrolled,Refuses to sit unless dramatic music plays.
70,28,2025-04-11,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
89,24,2022-03-31,Enrolled,Barked motivationally at peers. True leader.
68,1,2020-03-09,Completed,Tried to lead the class in a mutiny. Literally.
23,17,2022-03-30,Completed,Believes 'fetch' is beneath them. Diva energy.
98,22,2023-02-13,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
1,3,2021-07-15,Dropped,Obsessed with mirror training. Can’t stop posing.
92,1,2022-10-23,Completed,Advanced in barkonomics but behind in leash-onomics.
13,23,2022-11-06,Dropped,Faked injury to skip sit drills. Oscar-worthy.
3,14,2023-12-05,Completed,Tried to lead the class in a mutiny. Literally.
62,12,2023-01-09,Completed,Turns every command into a dance routine.
20,7,2023-10-19,Expelled for zoomie chaos,Barked motivationally at peers. True leader.
27,23,2024-09-01,Expelled for zoomie chaos,"Graduated, but only under protest (and treats)."
43,7,2025-10-31,Completed,Obsessed with mirror training. Can’t stop posing.
