dog_id,trick_id,proficiency_level,last_practiced
24,17,Tail-wagging Good,2024-01-31
19,13,Needs More Treats,2024-08-27
73,15,So-So,2024-06-16
85,19,Tail-wagging Good,2023-06-14
52,18,Fetching Fantastic,2024-05-09
9,2,So-So,2024-01-23
19,15,Paw-some,2024-03-18
95,19,Tail-wagging Good,2024-10-19
82,7,Needs More Treats,2025-01-31
4,11,Paw-some,2023-06-24
12,20,Tail-wagging Good,2024-04-26
96,16,Tail-wagging Good,2023-11-19
68,17,Tail-wagging Good,2024-07-31
28,5,Tail-wagging Good,2023-04-16
49,2,Tail-wagging Good,2025-01-04
54,15,Paw-some,2023-06-18
59,4,Fetching Fantastic,2023-08-22
44,11,Fetching Fantastic,2023-04-28
21,3,Paw-some,2023-08-04
48,17,Fetching Fantastic,2023-09-11
40,6,Needs More Treats,2023-10-29
93,2,Needs More Treats,2024-07-23
42,8,Paw-some,2023-10-10
100,15,Needs More Treats,2023-11-13
73,15,Paw-some,2024-03-29
77,17,Needs More Treats,2024-06-26
11,17,So-So,2025-01-07
7,20,Paw-some,2024-02-09
20,6,Tail-wagging Good,2023-11-14
21,12,Needs More Treats,2024-03-19
97,12,So-So,2023-08-17
80,10,Paw-some,2023-12-24
7,13,Needs More Treats,2024-02-24
87,14,Tail-wagging Good,2025-03-15
11,11,Needs More Treats,2024-09-28
35,20,So-So,2024-11-16
57,2,Fetching Fantastic,2023-12-01
85,11,Fetching Fantastic,2023-10-15
55,3,So-So,2024-04-04
63,11,So-So,2024-09-10
78,4,Paw-some,2024-12-11
57,18,Fetching Fantastic,2023-09-12
54,13,Paw-some,2023-05-09
35,10,Needs More Treats,2024-10-13
28,9,So-So,2023-05-05
97,20,Paw-some,2024-06-23
66,5,So-So,2024-03-31
15,11,Paw-some,2023-05-03
45,3,Needs More Treats,2023-07-11
56,19,Needs More Treats,2023-11-15
15,5,Tail-wagging Good,2023-12-21
37,12,Fetching Fantastic,2023-12-23
87,10,Tail-wagging Good,2024-02-16
87,13,Fetching Fantastic,2023-04-20
76,5,Needs More Treats,2023-09-11
63,20,Paw-some,2024-06-28
68,3,So-So,2024-06-30
86,10,Needs More Treats,2023-07-28
40,18,Needs More Treats,2024-01-11
6,13,Paw-some,2024-11-08
29,11,Needs More Treats,2024-09-28
51,5,Needs More Treats,2023-04-29
77,17,Paw-some,2024-05-08
8,3,Needs More Treats,2024-11-30
1,14,Fetching Fantastic,2024-11-20
27,17,Fetching Fantastic,2024-12-27
39,12,Fetching Fantastic,2025-02-24
28,1,Fetching Fantastic,2024-12-23
99,12,Needs More Treats,2025-01-05
18,10,So-So,2023-09-20
98,6,Fetching Fantastic,2024-02-17
33,7,Fetching Fantastic,2024-09-30
38,11,Needs More Treats,2024-12-02
42,16,Tail-wagging Good,2024-03-24
16,7,Needs More Treats,2024-03-09
1,8,Paw-some,2024-08-25
64,5,Fetching Fantastic,2023-08-19
96,5,Paw-some,2024-06-22
56,3,Fetching Fantastic,2024-01-10
23,10,Tail-wagging Good,2023-11-04
17,4,So-So,2024-03-09
49,17,Tail-wagging Good,2023-11-07
69,18,Needs More Treats,2023-05-18
91,17,Needs More Treats,2023-06-01
30,2,Paw-some,2024-11-16
65,11,Paw-some,2024-03-01
72,20,Needs More Treats,2024-09-30
86,5,Needs More Treats,2024-02-19
46,20,Needs More Treats,2024-10-02
10,13,Fetching Fantastic,2023-11-19
51,5,Tail-wagging Good,2024-01-27
95,6,Fetching Fantastic,2024-12-30
6,6,So-So,2023-04-05
56,20,Fetching Fantastic,2024-02-07
3,6,Needs More Treats,2023-07-01
59,15,Fetching Fantastic,2023-06-10
10,2,Paw-some,2024-04-08
41,14,Needs More Treats,2024-05-14
74,12,Tail-wagging Good,2023-06-27
55,8,Fetching Fantastic,2024-08-02
74,15,Needs More Treats,2024-01-31
52,20,Paw-some,2023-08-02
91,10,Paw-some,2023-11-01
82,15,Fetching Fantastic,2023-08-08
54,8,Needs More Treats,2025-03-25
38,18,Tail-wagging Good,2023-07-23
15,8,So-So,2023-08-23
52,10,Paw-some,2025-03-03
3,16,So-So,2024-02-08
42,7,Tail-wagging Good,2024-05-13
22,12,Fetching Fantastic,2025-02-05
80,19,Paw-some,2024-02-09
59,15,So-So,2024-08-11
89,15,Paw-some,2023-11-10
47,10,So-So,2023-09-21
12,13,Needs More Treats,2024-11-17
56,17,Needs More Treats,2023-05-29
14,17,Fetching Fantastic,2025-02-09
32,14,Tail-wagging Good,2025-03-28
56,6,Paw-some,2023-06-03
76,7,Tail-wagging Good,2024-10-12
52,20,So-So,2025-01-30
68,5,Fetching Fantastic,2024-02-08
11,9,Needs More Treats,2024-05-21
51,2,Needs More Treats,2024-10-04
40,16,Fetching Fantastic,2024-12-13
96,12,Paw-some,2025-01-20
44,18,Tail-wagging Good,2024-08-04
29,4,So-So,2024-03-06
43,17,Tail-wagging Good,2025-01-05
100,4,Needs More Treats,2024-09-28
22,10,Fetching Fantastic,2025-02-17
10,3,Needs More Treats,2024-11-19
66,6,Needs More Treats,2023-09-30
82,9,So-So,2023-11-13
15,15,Paw-some,2023-09-05
68,17,Paw-some,2023-05-15
66,5,So-So,2023-11-01
25,14,Fetching Fantastic,2025-03-23
100,3,Tail-wagging Good,2024-11-12
45,8,Fetching Fantastic,2024-06-13
45,15,Tail-wagging Good,2023-09-06
94,12,Paw-some,2024-09-02
83,1,Needs More Treats,2024-10-24
19,14,Needs More Treats,2024-12-14
31,2,Fetching Fantastic,2024-11-04
14,13,So-So,2024-10-08
19,17,Tail-wagging Good,2024-03-18
33,12,Needs More Treats,2024-06-24
26,8,Fetching Fantastic,2024-12-12
23,13,So-So,2024-12-26
78,3,Paw-some,2023-11-13
20,12,So-So,2024-03-01
98,8,Paw-some,2025-02-16
98,1,Fetching Fantastic,2024-03-01
84,11,So-So,2023-06-19
10,4,Fetching Fantastic,2023-11-06
23,11,Paw-some,2025-02-19
99,5,Needs More Treats,2025-01-14
81,5,Needs More Treats,2024-11-19
64,2,Paw-some,2025-02-16
60,10,Tail-wagging Good,2023-06-26
97,16,Tail-wagging Good,2024-08-12
73,5,Needs More Treats,2024-04-18
98,16,Needs More Treats,2024-12-30
75,15,So-So,2024-03-22
58,20,So-So,2024-04-21
88,1,Needs More Treats,2024-09-21
73,3,Tail-wagging Good,2024-12-03
83,1,So-So,2024-05-20
82,9,Paw-some,2024-08-25
80,7,So-So,2025-02-13
42,5,So-So,2024-10-14
81,18,So-So,2024-05-30
41,20,Fetching Fantastic,2023-12-24
20,17,Paw-some,2023-09-12
57,14,Needs More Treats,2023-10-16
9,4,Tail-wagging Good,2024-02-11
61,10,Tail-wagging Good,2023-05-29
57,8,Needs More Treats,2025-01-14
81,10,Fetching Fantastic,2024-08-12
39,4,Tail-wagging Good,2024-03-03
36,2,So-So,2024-10-20
76,8,Tail-wagging Good,2024-03-09
8,14,Paw-some,2023-12-22
46,20,Paw-some,2023-07-11
65,15,Needs More Treats,2024-06-16
10,3,Fetching Fantastic,2023-07-04
40,4,Fetching Fantastic,2023-10-29
60,16,Tail-wagging Good,2025-03-23
58,20,Fetching Fantastic,2024-05-03
5,18,Fetching Fantastic,2023-10-03
8,1,Tail-wagging Good,2023-11-02
48,17,Paw-some,2024-07-01
37,19,So-So,2023-08-24
10,8,Needs More Treats,2023-08-09
83,5,Paw-some,2024-07-18
12,10,Fetching Fantastic,2023-09-20
79,14,Fetching Fantastic,2025-03-15
77,1,Tail-wagging Good,2024-10-12
